epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,batch_size,epoch_time,eval_time,memory_allocated,memory_reserved,gradient_diversity
51,0.15514301538467407,95.87,0.012133495211601257,"tensor(65.9300, device='cuda:0')",0.1,2048,0,2.242326498031616,147.67,39058.0,0.0
52,0.1474328389763832,96.162,0.012094717389345169,"tensor(65.3800, device='cuda:0')",0.1,2048,0,2.242366313934326,147.67,39058.0,0.0
53,0.144563709795475,96.236,0.012478786665201188,"tensor(64.5000, device='cuda:0')",0.1,2048,0,2.2404940128326416,147.67,39058.0,0.0
54,0.14280405044555664,96.216,0.012284663236141205,"tensor(64.5700, device='cuda:0')",0.1,2048,0,2.247424602508545,147.67,39058.0,0.0
55,0.13372448086738586,96.538,0.012302848982810975,"tensor(64.6400, device='cuda:0')",0.1,2048,0,2.2403666973114014,147.67,39058.0,0.0
56,0.12895859330892562,96.766,0.012784116518497467,"tensor(63.9000, device='cuda:0')",0.1,2048,0,2.242011070251465,147.67,39058.0,0.0
57,0.13007627308368683,96.564,0.012274969041347504,"tensor(65.5700, device='cuda:0')",0.1,2048,0,2.2608489990234375,147.67,39058.0,0.0
58,0.1253231629729271,96.924,0.012065923810005187,"tensor(65.4300, device='cuda:0')",0.1,2048,0,2.230869770050049,147.67,39058.0,0.0
59,0.12980743646621704,96.692,0.012754771721363068,"tensor(64.1700, device='cuda:0')",0.1,2048,0,2.278651237487793,147.67,39058.0,0.0
60,0.08127193853259086,98.244,0.01060466923713684,"tensor(68.7200, device='cuda:0')",0.020000000000000004,2048,0,2.380728244781494,147.67,39058.0,1.1932
61,0.04919442042708397,99.266,0.010472583961486816,"tensor(69.4900, device='cuda:0')",0.020000000000000004,2048,0,2.3489058017730713,147.67,39058.0,0.0
62,0.04175482153892517,99.37,0.010453291070461274,"tensor(69.3700, device='cuda:0')",0.020000000000000004,2048,0,2.254180431365967,147.67,39058.0,0.0
63,0.034977094754576686,99.544,0.010454846829175949,"tensor(69.4400, device='cuda:0')",0.020000000000000004,2048,0,2.265371561050415,147.67,39058.0,0.0
64,0.03352692224085331,99.58,0.010432856947183608,"tensor(69.3000, device='cuda:0')",0.020000000000000004,2048,0,2.2611570358276367,147.67,39058.0,0.0
65,0.03138736315071583,99.614,0.010401253765821458,"tensor(69.6900, device='cuda:0')",0.020000000000000004,2048,0,2.357579469680786,147.67,39058.0,0.0
66,0.02972403071820736,99.69,0.01036877309679985,"tensor(69.7500, device='cuda:0')",0.020000000000000004,2048,0,2.3576362133026123,147.67,39058.0,0.0
67,0.02830291599035263,99.722,0.010296958982944488,"tensor(69.9200, device='cuda:0')",0.020000000000000004,2048,0,2.360008716583252,147.67,39058.0,0.0
68,0.02640222378075123,99.74,0.010389718645811081,"tensor(69.5500, device='cuda:0')",0.020000000000000004,2048,0,2.234340190887451,147.67,39058.0,0.0
69,0.025836115628480913,99.748,0.010305178272724152,"tensor(69.7600, device='cuda:0')",0.020000000000000004,2048,0,2.2582297325134277,147.67,39058.0,0.0
