epoch,train_loss,train_acc,val_loss,val_acc,learning_rate,batch_size,epoch_time,eval_time,memory_allocated,memory_reserved,gradient_diversity
14,2.521354246139526,34.688,0.0014176056146621705,"tensor(30.3800, device='cuda:0')",0.1,2048,17.56724739074707,5.15567684173584,149.34,17060.0,
15,2.4059012222290037,37.084,0.0012784680366516113,"tensor(34.4000, device='cuda:0')",0.1,2048,17.246975660324097,5.0615434646606445,149.34,17060.0,
16,2.3010337352752686,39.468,0.0012675186395645142,"tensor(35.5000, device='cuda:0')",0.1,2048,17.260389804840088,5.170410394668579,149.34,17060.0,
17,2.1857136154174803,42.016,0.0011758754014968872,"tensor(38.6500, device='cuda:0')",0.1,2048,17.396970987319946,5.190459966659546,149.34,17060.0,
18,2.0801833629608155,44.366,0.001126127815246582,"tensor(41.2900, device='cuda:0')",0.1,2048,17.334555864334106,5.050515174865723,149.34,17060.0,
19,2.0366616535186766,45.438,0.0011245856046676636,"tensor(41.8400, device='cuda:0')",0.1,2048,17.272141218185425,5.108583927154541,149.34,17060.0,
20,1.927889575958252,47.558,0.0010934177160263061,"tensor(42.8100, device='cuda:0')",0.1,2048,17.418283700942993,5.094008922576904,149.34,17060.0,
21,1.843335518836975,49.626,0.0011376630306243897,"tensor(42.4700, device='cuda:0')",0.1,2048,17.424283504486084,4.952425479888916,149.34,17060.0,
22,1.7663195180892943,51.674,0.001129892635345459,"tensor(43.1500, device='cuda:0')",0.1,2048,17.488494873046875,5.0744781494140625,149.34,17060.0,
23,1.6817310762405395,53.624,0.0009962973833084106,"tensor(47.4500, device='cuda:0')",0.1,2048,17.381786584854126,5.436180353164673,149.34,17060.0,
24,1.6022823715209962,55.508,0.0010242980003356934,"tensor(46.3700, device='cuda:0')",0.1,2048,17.39636492729187,4.9123170375823975,149.34,17060.0,
25,1.525908851623535,57.364,0.0009440550327301026,"tensor(49.4200, device='cuda:0')",0.1,2048,17.27230215072632,5.491337060928345,149.34,17060.0,
26,1.4762611627578734,58.67,0.0009961419463157654,"tensor(48.3000, device='cuda:0')",0.1,2048,17.45578098297119,5.472822666168213,149.34,17060.0,
27,1.4078769159317017,60.264,0.0009586979985237122,"tensor(49.5600, device='cuda:0')",0.1,2048,17.26302671432495,5.027602195739746,149.34,17060.0,
28,1.369532732963562,61.204,0.0009661588788032532,"tensor(49.2000, device='cuda:0')",0.1,2048,17.26550817489624,4.970445156097412,149.34,17060.0,
29,1.2982004976272583,62.906,0.0009181994557380676,"tensor(51.3700, device='cuda:0')",0.1,2048,17.208110570907593,5.060880422592163,149.34,17060.0,
30,1.240688319206238,64.396,0.0009595976829528808,"tensor(50.4000, device='cuda:0')",0.1,2048,17.250215530395508,4.931333065032959,149.34,17060.0,
31,1.184540581703186,65.602,0.0008989800453186035,"tensor(52.6600, device='cuda:0')",0.1,2048,17.32575535774231,5.558281421661377,149.34,17060.0,
32,1.1404374742507934,67.052,0.0008971720218658448,"tensor(54.0100, device='cuda:0')",0.1,2048,17.403254508972168,5.02121639251709,149.34,17060.0,
33,1.0817146492004395,68.536,0.0009000824451446533,"tensor(53.1700, device='cuda:0')",0.1,2048,17.250706672668457,4.923251152038574,149.34,17060.0,
34,1.0459963583946228,69.53,0.0008773152828216552,"tensor(54.6300, device='cuda:0')",0.1,2048,17.339500665664673,5.076934814453125,149.34,17060.0,
35,1.0063218927383424,70.75,0.0008934717416763306,"tensor(53.3100, device='cuda:0')",0.1,2048,17.36680841445923,4.924567937850952,149.34,17060.0,
36,0.9645475745201111,71.588,0.0009242707967758179,"tensor(52.8700, device='cuda:0')",0.1,2048,17.317272901535034,4.934997081756592,149.34,17060.0,
37,0.917659387588501,72.96,0.0008614646196365356,"tensor(55.6400, device='cuda:0')",0.1,2048,17.35511064529419,5.097731351852417,149.34,17060.0,
38,0.8758192944526673,74.078,0.0008714037418365479,"tensor(55.6500, device='cuda:0')",0.1,2048,17.65056800842285,5.173893928527832,149.34,17060.0,
39,0.8516955041885376,74.818,0.0008628268003463745,"tensor(55.9100, device='cuda:0')",0.1,2048,17.237895250320435,5.060583829879761,149.34,17060.0,
40,0.7974990749359131,76.248,0.0008338760256767273,"tensor(57.7200, device='cuda:0')",0.1,2048,17.248051404953003,5.02544641494751,149.34,17060.0,
